[2026-04-22 10:17:00] [INFO] === STEP 4: Add YAML Frontmatter ===
[2026-04-22 10:17:00] [INFO] Processing 1016 MD files...
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch22-i.md (4276 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch10-c.md (2494 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch19-i.md (1912 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch10-a.md (2391 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch21-d.md (1883 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch10-e.md (3167 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch10-f.md (2299 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch17-a.md (1906 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch23-e.md (2550 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch2-f.md (2928 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch2-e.md (1473 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch3-g.md (3591 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch3-c.md (2794 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch19-h.md (1971 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch15-e.md (1497 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/beer-brain-of-the-firm-1972.md (0 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch7-d.md (2675 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch14-c.md (3650 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch12-f.md (1850 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch6-g.md (2135 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch12-e.md (1815 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch11-d.md (3529 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch20-b.md (2343 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch14-e.md (2408 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch11-e.md (2252 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch13-c.md (3346 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch2-b.md (2810 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch22-g.md (1638 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch20-d.md (3283 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch18-e.md (1393 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/selected_maximsphp.md (1110 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch11-b.md (2986 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch19-d.md (2627 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch16-f.md (2298 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch4-c.md (2195 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch1-b.md (1948 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch22-f.md (2843 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch6-d.md (1726 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch22-c.md (1896 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch1-c.md (1245 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch11-a.md (1773 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch15-g.md (2923 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch19-c.md (1751 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch8-d.md (2448 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch12-a.md (4059 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch19-b.md (2187 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch1-a.md (1552 words)
